Model,Aug,Base,Impr_pp
NN3,-17.802545042642294,-4.380177605592306,-13.422367437049989
NN4,-19.883736489280835,-6.373262388027445,-13.51047410125339
NN1,-26.39102484756024,-11.425081092524136,-14.965943755036102
NN2,-26.664612558134305,-9.137024091375556,-17.52758846675875
