Metric,N_Normal,N_Anomaly,Mean_Normal,Mean_Anomaly,Difference,t_statistic,p_value,Significance
CAR FF3 30d,75839,4101,-0.001014268527287119,0.009741207414365712,0.01075547594165283,5.942535523533115,2.8180467771954015e-09,***
CAR FF3 60d,75597,4088,-0.0021405891494266248,0.019211356793891195,0.02135194594331782,8.335119582040637,7.863456939549351e-17,***
CAR FF3 90d,75440,4076,-0.004201414528473102,0.02723897428013868,0.03144038880861178,9.648112381912073,5.148051199268879e-22,***
Raw/Alt Return 30d,75846,4102,0.00047722856745813143,0.01683096459802822,0.01635373603057009,8.564900036064074,1.1005434481919596e-17,***
Raw/Alt Return 60d,75597,4088,0.001291418803716601,0.03544595401337177,0.03415453520965517,12.51815894935979,6.42103462582778e-36,***
Raw/Alt Return 90d,75440,4076,-0.0003743599254518434,0.0478322269097415,0.04820658683519335,13.8747635255132,1.0132608395277457e-43,***
