Feature,SMD_Before,SMD_After,Improvement
realized_vol_30d,0.5376564277863676,0.08513692038497717,0.4525195074013904
momentum_5d,0.0587611157948677,0.033464046355399686,0.025297069439468016
momentum_60d,0.04962502410865251,0.04782656201221959,0.0017984620964329179
trade_size_mid,0.12970614092231134,0.04963688761447816,0.08006925330783318
amihud_illiq_20d,0.028329895834652213,0.0277917221743054,0.0005381736603468114
beta_252d,0.2850062818732292,0.006996089773377877,0.2780101920998513
volume_ratio_30d,0.05731135270421047,0.049165011404737724,0.008146341299472747
