Metric,N_Normal,N_Anomaly,Mean_Normal,Mean_Anomaly,Difference,t_statistic,p_value,Subgroup
CAR 30d (Pre-2020),28834,1162,0.0014400099403552907,0.0031793623323050513,0.0017393523919497606,0.7055202532714865,0.4804920115778677,Pre-2020
CAR 30d (Post-2020),47005,2939,-0.0025197820968223005,0.012335581005843935,0.014855363102666235,6.116686427303548,9.624821931273162e-10,Post-2020
CAR 30d (House),68428,3640,-0.001050186721258016,0.010042538988471074,0.011092725709729091,5.688417201928032,1.2871722708072363e-08,House
CAR 30d (Senate),7411,461,-0.0006826250004971316,0.007361929909499092,0.008044554909996223,1.7564628196252767,0.07904830305394113,Senate
CAR 30d (Party D),41502,1732,-0.0009434866967504066,0.011275825077504206,0.012219311774254612,4.669742754390429,3.0248227439411297e-06,Party D
CAR 30d (Party R),34263,2365,-0.001049150874183926,0.008602912917092309,0.009652063791276234,3.788796784503409,0.00015162074097409343,Party R
CAR 30d (Small trades),69772,2624,-0.0013212897923969695,0.013744250179959384,0.015065539972356353,6.9619888573156175,3.383459616646017e-12,Small trades
CAR 30d (Large trades),6067,1477,0.002516551929156681,0.002629505168652929,0.00011295323949624819,0.02662030858172772,0.9787632793855627,Large trades
