Model,Base,Augmented,Congress Only,Improvement_pp
ElasticNet,0.002722072488103411,0.002722072488103411,-0.0004182226336157946,0.0
GradientBoosting,0.008387328310259345,0.008492882926167233,-0.0007548058425179693,0.010555461590788795
Lasso,-0.0004182226336157946,-0.0004182226336157946,-0.0004182226336157946,0.0
OLS,0.003414066872330368,-0.0018116603195683645,-0.003795473560450402,-0.5225727191898732
RandomForest,0.014050071350900861,0.014115093700118209,0.0004970468985512344,0.00650223492173474
Ridge,0.003433891759776486,-0.0016218619633459053,-0.0036001515779262583,-0.5055753723122391
