modelo,r2_base,r2_ampliado,diff_r2,mse_base,mse_ampliado
OLS,-0.04574724194202373,-0.004433481000102102,0.04131376094192163,0.008062527851613736,0.0077440059995928035
Ridge,-0.04570130355485169,-0.0044326601676614175,0.041268643387190274,0.008062173674704461,0.007743999671118627
LASSO,-0.005585251062162122,-0.0020887072238220394,0.0034965438383400826,0.007752885944795211,0.007725928204960628
ElasticNet,-0.01873862773564472,-0.0029345813893908446,0.015804046346253875,0.007854296172352473,0.007732449746443438
RandomForest,0.00061662091305692,0.0009760658844523151,0.0003594449713953951,0.007705070599435574,0.007702299341738909
GradientBoosting,-0.014946066506995814,-0.013224724604055105,0.0017213419029407095,0.00782505619034865,0.007811784946134001
