Model,Ampliado (Mercado + Congreso),Base (Mercado),Mejora (pp)
ElasticNet,-0.009748083404148566,-0.005821470911304694,-0.003926612492843873
LASSO,-0.010071054809102087,-0.0058270084412281875,-0.004244046367873899
OLS,-0.11940184478331783,0.020242986604446234,-0.13964483138776407
Ridge,-0.11672706625545093,0.026940230262217923,-0.14366729651766885
RandomForest,-0.16600145386191922,0.06855503625120551,-0.23455649011312474
GradientBoosting,-0.48180211459922795,-0.20017122146376298,-0.28163089313546497
