modelo,target,r2_base,r2_ampliado,diff_r2,mse_base,mse_ampliado,n_obs_base,n_obs_ampliado
OLS,ret_future_car30_ff3,-0.04384655010689853,-0.0546792545357051,-0.010832704428806572,0.008446074892199694,0.008533725546293816,24426,24426
Ridge,ret_future_car30_ff3,-0.04364688778315795,-0.05655599552712065,-0.0129091077439627,0.008444459364573251,0.008548910819421494,24426,24426
LASSO,ret_future_car30_ff3,0.0023325396914621876,0.002047625541836906,-0.0002849141496252816,0.008072426053823377,0.008074731379491537,24426,24426
ElasticNet,ret_future_car30_ff3,-0.005178518223756923,-0.007939749602420942,-0.0027612313786640197,0.008133200271705396,0.008155542221311396,24426,24426
RandomForest,ret_future_car30_ff3,0.013271659219422971,0.013271767104297338,1.0788487436741434e-07,0.007983914363308694,0.007983913490379881,24426,24426
GradientBoosting,ret_future_car30_ff3,-0.001301437893949764,-0.0007619443278745752,0.0005394935660751887,0.00810182965422788,0.008097464450297796,24426,24426
