trade_id,BioGuideID,Name,Party,Chamber,Ticker,trade_date,Transaction,Trade_Size_USD,sector,anomaly_if,anomaly_svm,anomaly_lof_contextual,anomaly_collective,anomaly_vote_count,anomaly_consensus_2,anomaly_score_ensemble,car_ff3_30d,car_ff3_60d,car_ff3_90d
13551,A000148,Jake Auchincloss,D,House,STT,2024-11-18,Sale,"$15,001 - $50,000",Financial Services,0,0,0,0,0,0,0.1762342530673379,0.07450314648553441,0.028724417478128848,-0.058710956618732116
11686,A000148,Jake Auchincloss,D,House,STT,2025-02-18,Sale,"$15,001 - $50,000",Financial Services,0,0,0,0,0,0,0.12598435753001438,-0.10733987315166782,0.0029340583963444536,0.07654422918086011
7328,A000148,Jake Auchincloss,D,House,STT,2025-05-16,Sale,"$15,001 - $50,000",Financial Services,0,0,0,0,0,0,0.15604174500969345,0.05588845417483816,0.08299397261391693,0.02823942394691012
3876,A000148,Jake Auchincloss,D,House,STT,2025-08-18,Sale,"$15,001 - $50,000",Financial Services,0,0,0,0,0,0,0.10935623416773492,-0.03542071754587156,-0.03037684250320896,0.02932842383436912
670,A000148,Jake Auchincloss,D,House,STT,2025-11-17,Sale,"$15,001 - $50,000",Financial Services,0,0,0,0,0,0,0.1332303827244098,0.0651877439867422,0.08918306774877825,0.08918306774877825
75140,A000367,Justin Amash,I,House,AAPL,2018-08-01,Purchase,"$1,001 - $15,000",Technology,0,0,0,1,1,0,0.2512409176417993,0.04656891216822223,0.09360289898097351,-0.1372671137658845
75133,A000367,Justin Amash,I,House,NTDOY,2018-08-01,Purchase,"$1,001 - $15,000",Communication Services,0,0,0,0,0,0,0.15143082765656038,-0.07319895405473116,-0.12565202543125362,-0.1714465777239521
75132,A000367,Justin Amash,I,House,DIS,2018-08-01,Purchase,"$15,001 - $50,000",Communication Services,0,0,0,0,0,0,0.14487551670162915,-0.05208851551572481,0.06117256475560033,0.08259875237146103
75122,A000367,Justin Amash,I,House,DIS,2018-08-01,Purchase,"$15,001 - $50,000",Communication Services,0,0,0,0,0,0,0.14487551670162915,-0.05208851551572481,0.06117256475560033,0.08259875237146103
75118,A000367,Justin Amash,I,House,DIS,2018-08-01,Purchase,"$15,001 - $50,000",Communication Services,0,0,0,0,0,0,0.14487551670162915,-0.05208851551572481,0.06117256475560033,0.08259875237146103
72080,A000367,Justin Amash,I,House,SONO,2018-11-01,Purchase,"$1,001 - $15,000",Technology,0,1,0,0,1,0,0.24388380855495637,-0.03971481278344949,-0.0905299992246238,-0.22209390775705562
72074,A000367,Justin Amash,I,House,AMZN,2018-11-01,Purchase,"$15,001 - $50,000",Consumer Cyclical,0,0,0,1,1,0,0.24609939680217394,-0.011352810694715831,0.00711915809635248,-0.1062650508261922
72100,A000367,Justin Amash,I,House,AMZN,2018-11-01,Purchase,"$15,001 - $50,000",Consumer Cyclical,0,0,0,1,1,0,0.24609939680217394,-0.011352810694715831,0.00711915809635248,-0.1062650508261922
72104,A000367,Justin Amash,I,House,AMZN,2018-11-01,Purchase,"$15,001 - $50,000",Consumer Cyclical,0,0,0,1,1,0,0.24609939680217394,-0.011352810694715831,0.00711915809635248,-0.1062650508261922
69801,A000367,Justin Amash,I,House,DIS,2019-01-02,Purchase,"$1,001 - $15,000",Communication Services,0,0,0,0,0,0,0.10347997909253852,-0.06289289599547083,-0.09174225022246502,0.1191329587666794
69794,A000367,Justin Amash,I,House,AMZN,2019-01-02,Purchase,"$1,001 - $15,000",Consumer Cyclical,0,1,0,0,1,0,0.23783545354591504,-0.13548763799239355,-0.1171283861218323,-0.08201194302388226
69835,A000367,Justin Amash,I,House,SONO,2019-01-02,Purchase,"$1,001 - $15,000",Technology,0,0,0,0,0,0,0.21831432674517182,-0.061045299275483994,-0.10950783659887642,-0.13906214022620145
69821,A000367,Justin Amash,I,House,AAPL,2019-01-02,Purchase,"$1,001 - $15,000",Technology,0,0,0,1,1,0,0.2446807290363977,-0.049294226031765115,0.02264187283944924,-0.007482231909513637
69807,A000367,Justin Amash,I,House,DIS,2019-01-02,Purchase,"$1,001 - $15,000",Communication Services,0,0,0,0,0,0,0.10347997909253852,-0.06289289599547083,-0.09174225022246502,0.1191329587666794
65433,A000367,Justin Amash,I,House,NTDOY,2019-05-01,Purchase,"$1,001 - $15,000",Communication Services,0,0,0,0,0,0,0.1357236002211305,0.025833544678257176,0.03978633954731062,0.09333653552065806
55005,A000367,Justin Amash,I,House,DIS,2020-03-18,Purchase,"$1,001 - $15,000",Communication Services,0,1,0,1,2,1,0.32170837330022445,0.05893565076567195,0.11992533731201974,0.07280973712987729
55133,A000367,Justin Amash,I,House,DIS,2020-03-18,Purchase,"$1,001 - $15,000",Communication Services,0,1,0,1,2,1,0.32170837330022445,0.05893565076567195,0.11992533731201974,0.07280973712987729
55236,A000367,Justin Amash,I,House,DIS,2020-03-18,Purchase,"$15,001 - $50,000",Communication Services,1,1,0,1,3,1,0.3473658511869464,0.05893565076567195,0.11992533731201974,0.07280973712987729
88065,A000372,Richard W. Allen,R,House,BBT,2017-03-23,Sale,"$1,001 - $15,000",Financial Services,0,1,0,0,1,0,0.382573267675387,0.06833687412610157,0.014935156817701335,0.021830635433014795
88062,A000372,Richard W. Allen,R,House,BBT,2017-03-23,Sale,"$15,001 - $50,000",Financial Services,0,1,0,0,1,0,0.41640683727991223,0.06833687412610157,0.014935156817701335,0.021830635433014795
87464,A000372,Richard W. Allen,R,House,XOM,2017-04-27,Sale,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.20225144446611476,0.00958713384146436,-0.01919253460386352,-0.022774542736575525
87465,A000372,Richard W. Allen,R,House,COST,2017-04-27,Purchase,"$15,001 - $50,000",Consumer Defensive,1,1,0,0,2,1,0.2775022032758623,0.047659864314033636,-0.13436445246464346,-0.10004416449497291
86782,A000372,Richard W. Allen,R,House,FDX,2017-05-16,Purchase,"$1,001 - $15,000",Industrials,0,0,0,0,0,0,0.22939376995599195,0.11047912644827415,0.04217400689378455,0.10071240387208556
86809,A000372,Richard W. Allen,R,House,GE,2017-05-16,Sale,"$1,001 - $15,000",Industrials,0,0,0,0,0,0,0.2351248712772723,-0.0380989070940242,-0.11696431457262588,-0.1667598321758437
82162,A000372,Richard W. Allen,R,House,DIS,2017-11-30,Purchase,"$1,001 - $15,000",Communication Services,0,0,0,0,0,0,0.21941390454567725,0.05173114381790165,-0.021307167346036004,-0.043335064724091314
82222,A000372,Richard W. Allen,R,House,TEL,2017-11-30,Purchase,"$1,001 - $15,000",Technology,0,0,0,0,0,0,0.23236897896751335,-0.01890979642617943,0.04573826404219954,0.024151614234710038
82233,A000372,Richard W. Allen,R,House,MRK,2017-11-30,Sale,"$1,001 - $15,000",Healthcare,0,0,0,0,0,0,0.21700651361125853,0.0383707700232234,-0.03912760228863033,0.040655401601630184
80627,A000372,Richard W. Allen,R,House,WMT,2018-01-25,Purchase,"$1,001 - $15,000",Consumer Defensive,1,1,0,0,2,1,0.48858180398997697,-0.1641118099063419,-0.14642005283409715,-0.209834268056569
80545,A000372,Richard W. Allen,R,House,PG,2018-01-29,Sale,"$1,001 - $15,000",Consumer Defensive,1,1,0,0,2,1,0.31327073801106864,-0.08427565323439246,-0.1314301828970656,-0.1002591689408206
80549,A000372,Richard W. Allen,R,House,CCL,2018-01-29,Purchase,"$1,001 - $15,000",Consumer Cyclical,0,0,0,0,0,0,0.1536427385111252,-0.03117363958945662,-0.03001286195247399,-0.06422126730719749
80316,A000372,Richard W. Allen,R,House,CI,2018-02-07,Sale,"$15,001 - $50,000",Healthcare,0,0,0,0,0,0,0.20882701904330458,-0.1288855055739239,-0.12989137650344781,-0.15030000029359017
78339,A000372,Richard W. Allen,R,House,DOV,2018-04-11,Sale,"$15,001 - $50,000",Industrials,0,0,0,0,0,0,0.2685791537051285,0.014998538052764965,-0.055136647058263294,0.046026329412055506
78077,A000372,Richard W. Allen,R,House,BBT,2018-04-27,Sale,"$15,001 - $50,000",Financial Services,0,1,0,0,1,0,0.4338807434020021,0.0813275074830976,0.0604642809896056,0.11772895300620938
77091,A000372,Richard W. Allen,R,House,PAYX,2018-05-23,Purchase,"$1,001 - $15,000",Technology,0,0,0,0,0,0,0.1524281721372455,0.06673448180161481,0.0751737276698194,0.06432829340854851
77092,A000372,Richard W. Allen,R,House,WMT,2018-05-23,Sale,"$1,001 - $15,000",Consumer Defensive,0,0,0,0,0,0,0.2388729331064176,0.006067365032282269,0.12084332358005218,0.08106045532889687
76794,A000372,Richard W. Allen,R,House,BAYZF,2018-06-07,Sale,"$1,001 - $15,000",Healthcare,1,1,1,0,3,1,0.5498234661304774,-0.09007693043307599,-0.2414647386071109,-0.24438374357896442
76145,A000372,Richard W. Allen,R,House,WMT,2018-06-28,Purchase,"$1,001 - $15,000",Consumer Defensive,0,0,0,0,0,0,0.29881670574578106,0.021192102452939954,0.051451295595228555,0.20720337155793106
71389,A000372,Richard W. Allen,R,House,TEL,2018-11-20,Sale,"$1,001 - $15,000",Technology,0,0,0,0,0,0,0.20238847783593233,0.04751573691068109,0.04923093700741054,0.08433443697517963
