Method,CAR,N_Normal,N_Anomaly,Mean_Normal,Mean_Anomaly,Difference,t_statistic,p_value,Significance
Political Only,car_ff3_30d,78261,1642,-0.00047287647780908906,0.0027765403704966044,0.0032494168483056937,1.1263994446082084,0.2599998647590443,
Political Only,car_ff3_60d,78261,1642,-0.0009294278680633867,0.009468612251506654,0.01039804011957004,2.5569392506866446,0.010561596431102225,*
Political Only,car_ff3_90d,78261,1642,-0.002091398789881372,0.012332941613252149,0.01442434040313352,2.715075796436874,0.006627483353697961,**
