,return_t,abs_return_t,return_overnight,return_intraday,momentum_5d,momentum_20d,momentum_60d,momentum_252d,realized_vol_30d,parkinson_vol_30d,realized_vol_60d,vol_of_vol_60d,realized_vol_252d,volume_t,dollar_volume_t,volume_ratio_30d,abnormal_volume_30d,amihud_illiq_20d,roll_spread_30d,hl_spread_20d
count,88413.0,88413.0,88413.0,88413.0,88399.0,88238.0,88014.0,87205.0,88166.0,88166.0,88015.0,88015.0,87211.0,88413.0,88413.0,87879.0,87879.0,87811.0,88076.0,88245.0
mean,0.0030903302373109093,0.01954367998334047,0.002902006427676836,0.00034869162119617646,-0.0006102781897377275,0.01404288640573911,2.0868842316967675,1.2454394517738525,5.28876666734618,0.274635197343716,9.707434630597174,4.5703662784023305,8.127035812921793,13792170.170483978,9.556123183092309e+16,1.2822221697026757,1838410.5984577276,0.26905227882176386,0.21829119495120267,0.026433102094339626
std,0.6595310734885795,0.6593672005334992,0.6591466300846339,0.022622897121177477,0.07182659009344136,1.2213290248778355,216.97383290147636,188.0276270771696,812.2024818410679,0.1811844996956882,962.4756735265988,395.1888872672521,970.0850200026631,53723828.961591184,1.7510858709604241e+19,10.330222327425382,26022910.8090379,30.393179894882415,34.72936579723149,0.017662363739241602
min,-0.1018351119682801,0.0,-0.07089222450429,-0.0745462773866834,-0.23082654288447135,-0.38820244625729783,-0.5071707739228704,-0.6571278368624399,0.058792597680678946,0.02753164497653687,0.069588514628139,0.01000852187394028,0.08830801549297893,100.0,2357.38468170166,0.25580551523947753,-36540833.33333333,8.075893967458474e-07,0.0,0.0018885411052440247
25%,-0.009909076326059307,0.004605615924034412,-0.004184143320865141,-0.008838095565170345,-0.026067145088743193,-0.056749036564649025,-0.09246327226854414,-0.1103519617302332,0.19544609218578735,0.1746830953603937,0.20522822251116196,0.03819488849026269,0.21764234624369516,1008900.0,71037037.83416748,0.7589060053595466,-642433.3333333334,1.8746111016846235e-05,0.0,0.01675091221307726
50%,0.0005889820053246453,0.010599548689463667,0.00030135848172352375,0.0002126560714692527,0.0004505240942143107,-0.0007513065198659352,0.00308471981492231,0.07372400834527704,0.26965479169758033,0.23208779023851947,0.2736680869243473,0.059240339458561664,0.278427862998069,2899400.0,232027763.49163055,0.9706028704399325,-17753.333333333343,5.447019174899698e-05,0.0059497537433687055,0.022334292718303
75%,0.011211926620843915,0.020865760225888375,0.005087054830473781,0.009220830683779768,0.02474751704001177,0.05061490937508489,0.09475164687376325,0.2773993145552571,0.382334278169816,0.314822692152836,0.3806503244829332,0.09831809725522528,0.3751937630163107,8443100.0,636827653.8757324,1.2935257933367148,679598.333333333,0.00019669875317323253,0.014020919752055012,0.030235196599509538
max,195.87994657871016,195.87994657871016,195.87994657871016,1.2638887923072923,7.883180451275189,173.5973956818708,22759.00111907723,32057.8231922021,138935.29963460998,5.653901615785227,146106.10504560624,38367.37299826271,161047.01998432065,3692928000.0,4.691642093293011e+21,2300.7452830188677,2885639733.3333335,6490.295371372834,5946.652554493782,0.5612047582238153
