Model,Spec,R2_pct,N
NN1,Base,-11.425081092524136,32083
NN1,Aug,-26.39102484756024,32083
NN2,Base,-9.137024091375556,32083
NN2,Aug,-26.664612558134305,32083
NN3,Base,-4.380177605592306,32083
NN3,Aug,-17.802545042642294,32083
NN4,Base,-6.373262388027445,32083
NN4,Aug,-19.883736489280835,32083
